time,open,high,low,close,tick_volume,spread,real_volume,collect_time,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,returns,volatility_20
2026-05-28 02:25:00,4451.54,4452.2,4449.27,4450.74,825.0,4,0.0,2026-05-30 03:04:29.502503,,,,,4450.74,4450.74,4450.74,,0.0,0.0,0.0,,,,,
2026-05-28 02:30:00,4450.74,4451.5,4449.26,4449.51,886.0,4,0.0,2026-05-30 03:04:29.502503,,,,,4450.33,4450.516363636363,4450.622857142856,,-0.0981196581196854,-0.019623931623937,-0.0784957264957483,,,,-0.0002763585381306,
2026-05-28 02:35:00,4449.51,4454.02,4449.51,4453.33,664.0,4,0.0,2026-05-30 03:14:21.301851,,,,,4453.33,4453.33,4453.33,,0.0,0.0,0.0,,,,,
2026-05-28 02:40:00,4453.32,4453.87,4450.73,4450.74,743.0,4,0.0,2026-05-30 03:14:21.301851,,,,,4452.466666666667,4452.859090909091,4453.083333333333,,-0.2066096866092266,-0.0413219373218453,-0.1652877492873813,,,,-0.0005815872616671,
2026-05-28 02:45:00,4450.75,4450.75,4446.15,4448.26,992.0,4,0.0,2026-05-30 03:24:05.154372,,,,,4448.26,4448.26,4448.26,,0.0,0.0,0.0,,,,,
2026-05-28 02:50:00,4448.42,4448.97,4443.95,4446.27,1005.0,4,0.0,2026-05-30 03:24:05.154372,,,,,4447.596666666667,4447.898181818182,4448.070476190476,,-0.1587464387457657,-0.0317492877491531,-0.1269971509966126,,,,-0.0004473659363436,
2026-05-28 02:55:00,4446.27,4449.91,4445.71,4447.08,955.0,4,0.0,2026-05-30 03:31:20.257721,,,,,4447.08,4447.08,4447.08,,0.0,0.0,0.0,,,,,
2026-05-28 03:00:00,4447.1,4452.52,4445.31,4449.46,1518.0,4,0.0,2026-05-30 03:38:13.272538,,,,,4449.46,4449.46,4449.46,,0.0,0.0,0.0,,,,,
2026-05-28 03:05:00,4449.49,4450.07,4445.72,4449.16,1159.0,4,0.0,2026-05-30 03:38:13.272538,,,,,4449.360000000001,4449.405454545454,4449.431428571428,,-0.0239316239321851,-0.004786324786437,-0.0191452991457481,,,,-6.742391211522758e-05,
2026-05-28 03:10:00,4449.16,4450.08,4444.49,4444.61,1116.0,4,0.0,2026-05-30 03:38:13.272538,,,,,4447.776666666667,4448.533553719008,4448.972244897958,,-0.4053717096458058,-0.0849034017583108,-0.320468307887495,,,,-0.0010226649524854,
2026-05-28 03:15:00,4444.59,4453.99,4444.0,4452.33,1374.0,4,0.0,2026-05-30 03:38:13.272538,,,,,4449.294444444445,4449.223816679188,4449.292031098153,,-0.0837607031871812,-0.0846748620440848,0.0009141588569036,,,,0.00173693529916,
2026-05-28 03:20:00,4452.32,4453.65,4444.33,4445.91,1282.0,4,0.0,2026-05-30 03:38:13.272538,4448.294,,,,4448.166296296296,4448.621304555699,4448.969932898329,,-0.3429684821358023,-0.1363335860624284,-0.2066348960733739,,,,-0.001441941635054,
2026-05-28 03:25:00,4445.98,4447.9,4444.17,4446.25,1298.0,4,0.0,2026-05-30 03:38:13.272538,4447.652,,,,4447.527530864198,4448.190158272844,4448.710891669916,,-0.5150205199770426,-0.2120709728453512,-0.3029495471316913,,,,7.647478244043882e-05,
2026-05-28 03:30:00,4446.27,4450.08,4443.86,4449.48,1444.0,4,0.0,2026-05-30 03:38:13.272538,4447.716,,,,4448.178353909465,4448.424674950508,4448.784140082305,,-0.3862861277439151,-0.246914003825064,-0.1393721239188511,,,,0.0007264548777057,
2026-05-28 03:35:00,4449.45,4452.74,4449.02,4450.64,1022.0,4,0.0,2026-05-30 03:38:13.272538,4448.9220000000005,,,,4448.99890260631,4448.827461323142,4448.960888645896,,-0.1884881152800517,-0.2352288261160615,0.0467407108360098,,,,0.0002607046216638,
2026-05-28 03:40:00,4450.63,4453.17,4450.16,4451.99,1018.0,4,0.0,2026-05-30 03:38:13.272538,4448.853999999999,,,,4449.995935070874,4449.402468355298,4449.2493754415245,,0.0763221579072706,-0.1729186293113951,0.2492407872186657,,,,0.0003033271619361,
2026-05-28 03:45:00,4451.98,4455.09,4451.8,4453.74,1102.0,4,0.0,2026-05-30 03:38:13.272538,4450.42,4449.357,,,4451.243956713916,4450.191110472516,4449.677053970903,,0.4225259655850095,-0.0538297103321142,0.4763556759171237,,,,0.0003930826439413,
2026-05-28 03:50:00,4453.74,4454.33,4451.53,4451.55,942.0,4,0.0,2026-05-30 03:38:13.272538,4451.48,4449.566000000001,,,4451.345971142611,4450.438181295694,4449.855429783198,,0.5142522996284242,0.0597866916599934,0.4544656079684307,,,,-0.000491721564348,
2026-05-28 03:55:00,4451.55,4457.91,4450.65,4457.08,1212.0,4,0.0,2026-05-30 03:38:13.272538,4453.0,4450.357999999999,,,4453.257314095074,4451.645784696477,4450.54348408956,,1.021396837130851,0.252108720754165,0.769288116376686,,,,0.0012422639305409,
2026-05-28 04:00:00,4457.08,4458.74,4445.71,4445.93,2276.0,4,0.0,2026-05-30 03:38:13.272538,4452.058,4450.49,,,4450.814876063383,4450.606551115299,4450.104104652459,,0.517633761531215,0.305213728909575,0.21242003262164,,,,-0.0025016378436105,
2026-05-28 04:05:00,4445.86,4448.24,4442.92,4444.59,1717.0,4,0.0,2026-05-30 03:38:13.272538,4450.578,4449.716,,,4448.739917375589,4449.512632730699,4449.578951828415,44.82245375292375,0.0101540440500684,0.2462017919376737,-0.2360477478876052,,,,-0.0003013992572983,
2026-05-28 04:10:00,4444.59,4446.35,4437.85,4438.22,1525.0,4,0.0,2026-05-30 03:38:13.272538,4447.474,4448.947,,,4445.233278250393,4447.459426779662,4448.497146892375,39.47565543071174,-0.8957078889507102,0.0178198557599968,-0.9135277447107072,,,,-0.0014332030625996,
2026-05-28 04:15:00,4438.22,4440.51,4431.76,4433.43,1799.0,4,0.0,2026-05-30 03:38:13.272538,4443.85,4447.665,,,4441.298852166929,4444.908621910632,4447.062180521672,36.413888409051886,-1.977329541428844,-0.3812100236777713,-1.5961195177510727,,,,-0.0010792615057387,
2026-05-28 04:20:00,4433.47,4435.08,4426.95,4431.26,1725.0,4,0.0,2026-05-30 03:38:13.272538,4438.686,4445.843,,,4437.952568111286,4442.427054290517,4445.55721094818,37.97513961448422,-2.975325656145287,-0.9000331501712745,-2.0752925059740126,,,,-0.0004894630117088,
2026-05-28 04:25:00,4431.26,4431.37,4417.35,4419.44,2024.0,4,0.0,2026-05-30 03:38:13.272538,4433.388,4442.723,,,4431.781712074191,4438.24758987406,4443.069857524544,22.412346921657004,-4.666230581849959,-1.6532726365070114,-3.012957945342948,,,,-0.0026674128803095,
2026-05-28 04:30:00,4419.44,4425.64,4417.0,4425.25,2047.0,4,0.0,2026-05-30 03:38:13.272538,4429.52,4440.049,,,4429.604474716128,4435.88439171514,4441.372728236493,32.491525423728945,-5.474361442937152,-2.41749039779304,-3.056871045144112,,,,0.0013146461995185,
2026-05-28 04:35:00,4425.25,4426.45,4420.77,4422.78,1849.0,4,0.0,2026-05-30 03:38:13.272538,4426.432,4436.953,4443.155000000001,,4427.329649810752,4433.50177503966,4439.601992213969,30.80320628169457,-6.242163554125909,-3.1824250290596137,-3.059738525066296,4443.155000000001,4465.150709150938,4421.159290849063,-0.0005581605559008,
2026-05-28 04:40:00,4422.78,4423.1,4415.89,4417.58,1885.0,4,0.0,2026-05-30 03:38:13.272538,4423.262000000001,4433.556,4441.561,,4424.079766540502,4430.60690685063,4437.504659622163,24.72266244057096,-7.187396962559433,-3.983419415759578,-3.203977546799855,4441.561,4466.1057568846445,4417.016243115355,-0.001175731101253,0.0011820928370075
2026-05-28 04:45:00,4417.58,4420.41,4416.35,4417.58,1744.0,4,0.0,2026-05-30 03:38:13.272538,4420.526,4429.606000000001,4439.982,,4421.913177693668,4428.238378332334,4435.607072991481,23.312883435582336,-7.846056790106559,-4.755946890628975,-3.090109899477584,4439.982,4466.455792085163,4413.508207914837,0.0,0.0011830633082542
2026-05-28 04:50:00,4417.59,4419.74,4407.64,4409.24,2178.0,4,0.0,2026-05-30 03:38:13.272538,4418.486,4425.937,4438.2135,,4417.688785129112,4424.784127726455,4433.095923182768,18.990279994197135,-8.937986207243739,-5.592354753951928,-3.345631453291811,4438.2135,4467.914441877677,4408.512558122323,-0.0018879114809465,0.0012238634283394
2026-05-28 04:55:00,4409.23,4411.38,4406.97,4409.95,1875.0,4,0.0,2026-05-30 03:38:13.272538,4415.426,4422.473,4436.0945,,4415.109190086075,4422.087013594372,4430.891549546314,17.749300338783513,-9.634990893522628,-6.400881981866068,-3.234108911656559,4436.0945,4467.550199491927,4404.6388005080735,0.0001610254828496,0.0011259423940577
2026-05-28 05:00:00,4409.99,4412.51,4403.0,4404.15,2193.0,4,0.0,2026-05-30 03:38:13.272538,4411.7,4419.066,4434.0065,,4411.45612672405,4418.825738395395,4428.344735303808,16.85314685314688,-10.533954782846196,-7.227496542062093,-3.306458240784101,4434.0065,4468.148161708398,4399.864838291603,-0.0013152076554155,0.0011205727124146
2026-05-28 05:05:00,4404.17,4408.44,4402.83,4407.86,1586.0,4,0.0,2026-05-30 03:38:13.272538,4409.755999999999,4416.509,4432.087,,4410.257417816033,4416.83196777805,4426.393808132017,14.681400688863803,-10.82227173564479,-7.946451580778634,-2.8758201548661564,4432.087,4467.61874598344,4396.555254016559,0.0008423872938023,0.0011528944596575
2026-05-28 05:10:00,4407.86,4408.33,4396.45,4402.69,2061.0,4,0.0,2026-05-30 03:38:13.272538,4406.778,4413.652,4429.7475,,4407.734945210688,4414.2607009093135,4424.136302595634,16.059654631083532,-11.33725200651952,-8.62461166592681,-2.71264034059271,4429.7475,4466.594553942083,4392.900446057916,-0.0011729047655778,0.0011303800157587
2026-05-28 05:15:00,4402.66,4405.94,4402.38,4404.21,1571.0,4,0.0,2026-05-30 03:38:13.272538,4405.771999999999,4412.129,4427.426,,4406.559963473793,4412.433300743984,4422.2385594912885,18.39386349405221,-11.49027356339866,-9.197744045421182,-2.292529517977478,4427.426,4464.579963251092,4390.272036748909,0.0003452434761477,0.0011336372188046
2026-05-28 05:20:00,4404.21,4406.05,4399.68,4405.77,1384.0,4,0.0,2026-05-30 03:38:13.272538,4404.936,4410.181,4425.115,,4406.296642315862,4411.221791517804,4420.670125254022,22.53258845437746,-11.354774514647032,-9.629150139266352,-1.725624375380681,4425.115,4461.579138114336,4388.650861885663,0.0003542065432848,0.0011356458883292
2026-05-28 05:25:00,4405.77,4408.42,4405.73,4406.13,1213.0,4,0.0,2026-05-30 03:38:13.272538,4405.332,4408.5160000000005,4422.7345000000005,,4406.241094877241,4410.29601124184,4419.285351420306,25.018301610542537,-11.09049720278017,-9.921419551969116,-1.1690776508110543,4422.7345000000005,4457.507334209305,4387.961665790696,8.171102894616311e-05,0.0011245342869662
2026-05-28 05:30:00,4406.13,4410.42,4403.92,4409.01,1644.0,4,0.0,2026-05-30 03:38:13.272538,4405.562,4407.659,4420.6075,,4407.164063251495,4410.062191016051,4418.306746523134,29.90063233965753,-10.52731130655684,-10.04259790288666,-0.4847134036701792,4420.6075,4453.08748177016,4388.1275182298405,0.0006536348223951,0.001155674409438
2026-05-28 05:35:00,4409.0,4409.26,4405.73,4406.82,1362.0,4,0.0,2026-05-30 03:38:13.272538,4406.388000000001,4406.583,4418.0945,,4407.049375500997,4409.472701740405,4417.212770663788,36.19860017497887,-10.140800290352672,-10.062238380379863,-0.0785619099728087,4418.0945,4446.171676702429,4390.017323297571,-0.0004967101458152,0.001082424142501
2026-05-28 05:40:00,4406.82,4408.41,4400.75,4402.06,1419.0,4,0.0,2026-05-30 03:38:13.272538,4405.9580000000005,4405.865,4415.901,,4405.386250333999,4408.124937787604,4415.7696496481885,24.042981867025876,-10.102128693151826,-10.070216442934257,-0.0319122502175694,4415.901,4441.573506612912,4390.228493387088,-0.001080143958682,0.0009915084297896
